Date,LKR_per_Oz,LKR_per_XAU_Inverse
2025-08-15,1004953.6796,0
2025-08-14,1012690.2085,0
2025-08-13,1008902.1230,0
2025-08-12,1008137.6630,0
2025-08-11,1015981.0963,0
2025-08-07,1016878.7177,0
2025-08-06,1015649.0232,0
2025-08-05,1015988.9988,0
2025-08-04,1011252.7575,0
2025-08-01,994079.7068,0
2025-07-31,995271.8543,0
2025-07-30,1006094.3510,0
2025-07-29,1002243.6721,0
2025-07-28,1005864.8490,0
2025-07-25,1016135.5031,0
2025-07-24,1022115.0671,0
2025-07-23,1032358.3764,0
2025-07-22,1023202.2278,0
2025-07-21,1011822.5906,0
2025-07-18,1007922.2690,0
2025-07-17,1006406.7452,0
2025-07-16,1001983.0245,0
2025-07-15,1007818.2013,0
2025-07-14,1008902.5024,0
2025-07-11,1001764.7033,0
2025-07-09,993571.0561,0
2025-07-08,1002624.5585,0
2025-07-07,994890.1677,0
2025-07-04,999522.4976,0
2025-07-03,1004134.4876,0
2025-07-02,999304.7676,0
2025-07-01,994760.3080,0
2025-06-30,984236.5347,0
2025-06-27,993813.3741,0
2025-06-26,1002722.8359,0
2025-06-25,1000542.0890,0
2025-06-24,1009158.6871,0
2025-06-23,1010538.6869,0
2025-06-20,1008654.3754,0
2025-06-19,1015112.2393,0
2025-06-18,1014759.7271,0
2025-06-17,1022053.0304,0
2025-06-16,1030336.6791,0
2025-06-13,1026320.5399,0
2025-06-12,1008976.7727,0
2025-06-11,997059.4094,0
2025-06-09,988455.3975,0
2025-06-06,1006449.8784,0
2025-06-05,1009336.3215,0
2025-06-04,1009013.2799,0
2025-06-03,1010072.0141,0
2025-06-02,990724.5357,0
2025-05-30,988518.0003,0
2025-05-29,978565.1565,0
2025-05-28,991846.6229,0
2025-05-27,1000960.3846,0
2025-05-26,1003819.2948,0
2025-05-23,986099.6191,0
2025-05-22,1001496.1422,0
2025-05-21,990008.5111,0
2025-05-20,962335.1763,0
2025-05-19,963884.9136,0
2025-05-16,962211.4861,0
2025-05-15,945076.6125,0
2025-05-14,967173.3176,0
2025-05-09,981981.9171,0
2025-05-08,1021184.3368,0
2025-05-07,1014044.1907,0
2025-05-06,1013200.3668,0
2025-05-05,978517.4120,0
2025-05-02,972452.7302,0
2025-04-30,992684.4761,0
2025-04-29,997985.7122,0
2025-04-28,982190.3287,0
2025-04-25,1004450.5274,0
2025-04-24,1006001.0738,0
2025-04-23,1010724.2509,0
2025-04-22,1033907.6744,0
2025-04-21,1011754.4913,0
2025-04-17,996727.6700,0
2025-04-16,975711.7605,0
2025-04-11,961245.8973,0
2025-04-10,937182.4801,0
2025-04-09,897309.8185,0
2025-04-08,892646.9685,0
2025-04-07,900138.6455,0
2025-04-04,922069.1950,0
2025-04-03,932614.2929,0
2025-04-02,927882.6434,0
2025-04-01,931034.3818,0
2025-03-28,911472.1196,0
2025-03-27,897509.0040,0
2025-03-26,897426.6979,0
2025-03-25,893175.4275,0
2025-03-24,896184.0609,0
2025-03-21,900265.4699,0
2025-03-20,903760.1079,0
2025-03-19,896934.5910,0
2025-03-18,890893.7266,0
2025-03-17,883984.7554,0
2025-03-14,882077.1356,0
2025-03-12,862085.4418,0
2025-03-11,856254.6500,0
2025-03-10,860529.8672,0
2025-03-07,859015.7337,0
2025-03-06,863128.8301,0
2025-03-05,858515.4280,0
2025-03-04,852179.4665,0
2025-03-03,847586.5360,0
2025-02-28,849806.7334,0
2025-02-27,861531.2883,0
2025-02-25,872496.5186,0
2025-02-24,868129.3051,0
2025-02-21,871155.9035,0
2025-02-20,871637.2502,0
2025-02-19,868693.3423,0
2025-02-18,855599.0053,0
2025-02-17,856043.5311,0
2025-02-14,868271.4846,0
2025-02-13,863775.3163,0
2025-02-11,874660.0915,0
2025-02-10,855438.9361,0
2025-02-07,855983.5596,0
2025-02-06,858251.4884,0
2025-02-05,852685.8229,0
2025-02-03,826538.6041,0
2025-01-31,832105.7482,0
2025-01-30,818623.7509,0
2025-01-29,823644.5607,0
2025-01-28,817623.9991,0
2025-01-27,823016.0459,0
2025-01-24,827413.2259,0
2025-01-23,822605.3439,0
2025-01-22,817574.8212,0
2025-01-21,807898.4274,0
2025-01-20,799984.9527,0
2025-01-17,805077.1470,0
2025-01-16,796054.5699,0
2025-01-15,786893.2310,0
2025-01-10,790525.3188,0
2025-01-09,786922.3796,0
2025-01-08,783900.5376,0
2025-01-07,778116.0380,0
2025-01-06,775988.9564,0
2025-01-03,779943.7303,0
2025-01-02,773285.6394,0
2025-01-01,769023.6765,0
2024-12-31,763459.5484,0
2024-12-30,768331.1874,0
2024-12-27,774237.5461,0
2024-12-26,778557.7168,0
2024-12-24,773996.5414,0
2024-12-23,769713.5684,0
2024-12-20,760126.4750,0
2024-12-19,760289.8220,0
2024-12-18,770447.0764,0
2024-12-17,772684.3983,0
2024-12-16,769980.1445,0
2024-12-13,780230.8665,0
2024-12-12,786061.4182,0
2024-12-11,784952.1604,0
2024-12-10,774768.0040,0
2024-12-09,768621.0530,0
2024-12-06,761764.0716,0
2024-12-05,769117.1023,0
2024-12-04,768195.2756,0
2024-12-03,765902.9140,0
2024-12-02,764582.0994,0
2024-11-29,773613.5925,0
2024-11-28,764656.9796,0
2024-11-27,767944.1483,0
2024-11-26,765114.5384,0
2024-11-25,786059.9671,0
2024-11-22,780415.8900,0
2024-11-21,772989.5096,0
2024-11-20,768426.7092,0
2024-11-19,763814.8798,0
2024-11-18,757834.7129,0
2024-11-14,748882.1666,0
2024-11-13,762774.4071,0
2024-11-12,768149.9541,0
2024-11-11,782030.2343,0
2024-11-08,790216.7096,0
2024-11-07,777405.8919,0
2024-11-06,804988.4232,0
2024-11-05,800561.0056,0
2024-11-04,802401.1913,0
2024-11-01,806276.5591,0
2024-10-30,815923.5583,0
2024-10-29,809246.2766,0
2024-10-28,803052.5072,0
2024-10-25,801407.8623,0
2024-10-24,798412.0271,0
2024-10-23,803285.9323,0
2024-10-22,799842.8034,0
2024-10-21,798902.0557,0
2024-10-18,793688.7656,0
2024-10-16,783066.3312,0
2024-10-15,776809.8110,0
2024-10-14,776360.7258,0
2024-10-11,773885.2727,0
2024-10-10,764952.5867,0
2024-10-09,768026.4320,0
2024-10-08,774121.7147,0
2024-10-07,777824.3030,0
2024-10-04,786334.4849,0
2024-10-03,783993.1787,0
2024-10-02,786467.5364,0
2024-10-01,783221.5908,0
2024-09-30,794276.6143,0
2024-09-27,801437.9861,0
2024-09-26,802975.1960,0
2024-09-25,809431.7941,0
2024-09-24,799864.1843,0
2024-09-23,799064.6881,0
2024-09-20,788517.5316,0
2024-09-19,778453.2772,0
2024-09-18,774896.7946,0
2024-09-13,773840.9916,0
2024-09-12,755912.1760,0
2024-09-11,757666.9242,0
2024-09-10,751070.2197,0
2024-09-09,745997.9801,0
2024-09-06,751955.9136,0
2024-09-05,746748.3730,0
2024-09-04,746036.4903,0
2024-09-03,745580.4333,0
2024-09-02,746559.5030,0
2024-08-30,755727.8546,0
2024-08-29,755631.6689,0
2024-08-28,756634.5530,0
2024-08-27,753648.0453,0
2024-08-26,755758.0030,0
2024-08-23,749484.1252,0
2024-08-22,751339.6873,0
2024-08-21,753525.2763,0
2024-08-20,746926.2607,0
2024-08-16,733735.0850,0
2024-08-15,733797.4710,0
2024-08-14,735052.0859,0
2024-08-13,739166.4339,0
2024-08-12,729046.9648,0
2024-08-09,730311.8852,0
2024-08-08,721246.9926,0
2024-08-07,723351.5496,0
2024-08-06,728861.1249,0
2024-08-05,736524.4575,0
2024-08-02,741707.2326,0
2024-08-01,740958.4933,0
2024-07-31,727903.5487,0
2024-07-30,720465.7305,0
2024-07-29,725661.0085,0
2024-07-26,720640.5519,0
2024-07-25,721798.7343,0
2024-07-24,732915.8944,0
2024-07-23,729480.4052,0
2024-07-22,730715.9092,0
2024-07-19,736772.8975,0
2024-07-18,747678.2172,0
2024-07-17,752089.3496,0
2024-07-16,732184.5939,0
2024-07-15,727982.6961,0
2024-07-12,730243.5030,0
2024-07-11,721597.0602,0
2024-07-10,720421.2229,0
2024-07-09,719637.2913,0
2024-07-08,727007.9486,0
2024-07-05,719240.6513,0
2024-07-04,717282.9398,0
2024-07-03,706675.7865,0
2024-07-02,713330.0223,0
2024-07-01,711879.0149,0
2024-06-28,709957.4903,0
2024-06-27,701893.3811,0
2024-06-26,708978.7229,0
2024-06-25,710273.8835,0
2024-06-24,709119.0547,0
2024-06-20,712480.7996,0
2024-06-19,709619.4065,0
2024-06-18,706492.2615,0
2024-06-14,700477.5825,0
2024-06-13,703449.6146,0
2024-06-12,702505.2169,0
2024-06-11,697962.2114,0
2024-06-10,695902.1464,0
2024-06-07,717719.3916,0
2024-06-06,715608.4219,0
2024-06-05,705045.5959,0
2024-06-04,708650.5778,0
2024-06-03,703082.3339,0
2024-05-31,708485.0474,0
2024-05-30,703860.0195,0
2024-05-29,710894.2605,0
2024-05-28,707028.9520,0
2024-05-27,701861.4469,0
2024-05-22,726648.2645,0
2024-05-21,725328.2757,0
2024-05-20,729715.5423,0
2024-05-17,717411.5730,0
2024-05-16,722490.9128,0
2024-05-15,709219.1633,0
2024-05-14,702582.1507,0
2024-05-13,704714.3788,0
2024-05-10,701530.6581,0
2024-05-09,689893.2253,0
2024-05-08,691861.8966,0
2024-05-07,691983.2367,0
2024-05-06,687459.9509,0
2024-05-03,682783.5916,0
2024-05-02,691063.0922,0
2024-04-30,691794.9397,0
2024-04-29,689518.3329,0
2024-04-26,693731.7144,0
2024-04-25,692992.9740,0
2024-04-24,699153.5689,0
2024-04-22,717491.4339,0
2024-04-19,725226.2293,0
2024-04-18,713467.7409,0
2024-04-17,715156.7977,0
2024-04-16,711821.3506,0
2024-04-15,705151.2418,0
2024-04-10,701944.7266,0
2024-04-09,700261.8396,0
2024-04-08,696873.5476,0
2024-04-05,681399.0040,0
2024-04-04,689962.8256,0
2024-04-03,684949.4692,0
2024-04-02,674834.3316,0
2024-04-01,678244.8857,0
2024-03-28,661225.3511,0
2024-03-27,657503.7044,0
2024-03-26,657416.2277,0
2024-03-25,660444.3487,0
2024-03-22,661296.8254,0
2024-03-21,670994.7390,0
2024-03-20,656229.9088,0
2024-03-19,658503.3392,0
2024-03-18,656909.3604,0
2024-03-15,661047.0452,0
2024-03-14,666024.9178,0
2024-03-13,662199.5945,0
2024-03-12,669528.6322,0
2024-03-11,669954.8592,0
2024-03-07,660532.5428,0
2024-03-06,654262.1400,0
2024-03-05,650912.9024,0
2024-03-04,643729.6161,0
2024-03-01,633779.3917,0
2024-02-29,631623.8903,0
2024-02-28,631565.5268,0
2024-02-27,631775.2107,0
2024-02-26,631896.9183,0
2024-02-22,631791.0845,0
2024-02-21,632728.2244,0
2024-02-20,630208.7637,0
2024-02-19,631234.7735,0
2024-02-16,627418.5234,0
2024-02-15,624100.2651,0
2024-02-14,624292.2265,0
2024-02-13,632582.2560,0
2024-02-12,633124.9470,0
2024-02-09,638048.9937,0
2024-02-08,638077.0015,0
2024-02-07,639169.5555,0
